id_educacion,anio,codigo_municipio,nombre_municipio,codigo_departamento,nombre_departamento,poblacion_5_16,total_matriculados,tasa_matriculacion_5_16,cobertura_neta_total,cobertura_neta_transicion,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta_total,cobertura_bruta_transicion,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tasa_desercion_total,tasa_desercion_primaria,tasa_desercion_secundaria,tasa_aprobacion_total,tasa_aprobacion_transicion,tasa_aprobacion_primaria,tasa_aprobacion_secundaria,tasa_aprobacion_media,tasa_reprobacion_total,tasa_reprobacion_transicion,tasa_reprobacion_primaria,tasa_reprobacion_secundaria,tasa_reprobacion_media,tasa_repitencia_total,tasa_repitencia_transicion,tasa_repitencia_primaria,tasa_repitencia_secundaria,tasa_repitencia_media
11,2023,99524,La Primavera,99,Vichada,2659.0,2551.0446,0.9594,0.9594,0.7337,1.0236,0.6071,0.2968,1.0545,1.087,1.3563,0.9433,0.5828,0.0644,0.048799999999999996,0.0902,0.8332999999999999,0.0,0.8166,0.8207,0.9004000000000001,0.1023,0.0,0.1346,0.0891,0.048,0.1398,0.0155,0.1937,0.11800000000000001,0.0148
12,2023,99624,Santa Rosalía,99,Vichada,1159.0,972.0533,0.8387,0.8387,0.6494,0.8573999999999999,0.5405,0.2775,0.9309999999999999,1.1169,1.1281,0.8378,0.555,0.049100000000000005,0.0403,0.0645,0.8526,0.0,0.8828,0.7565999999999999,0.9245,0.09820000000000001,0.0,0.07690000000000001,0.1789,0.028300000000000002,0.1399,0.0,0.1648,0.17010000000000003,0.028300000000000002
13,2023,99773,Cumaribo,99,Vichada,25357.0,12640.4645,0.4985,0.4985,0.38189999999999996,0.5731,0.1607,0.039599999999999996,0.5618,0.5567,0.8714,0.3616,0.16879999999999998,0.075,0.07519999999999999,0.0861,0.7605,0.0009,0.7112999999999999,0.8151999999999999,0.8974,0.16449999999999998,0.0009,0.21350000000000002,0.0987,0.0513,0.2127,0.0052,0.2783,0.11869999999999999,0.06559999999999999
14,2023,95001,San José del Guaviare,95,Guaviare,13980.0,12661.686,0.9057,0.9054000000000001,0.5489,0.835,0.7282,0.4081,1.0876000000000001,0.9307,1.1589,1.1222,0.9192,0.0587,0.0495,0.0751,0.8504,0.0032,0.8820999999999999,0.768,0.9125,0.0909,0.0032,0.0684,0.15689999999999998,0.0567,0.1084,0.0683,0.1144,0.1361,0.0192
15,2023,94887,Pana Pana,94,Guainía,718.0,268.02939999999995,0.37329999999999997,0.37329999999999997,0.3014,0.3993,0.11199999999999999,0.0,0.4485,0.3973,0.7253000000000001,0.3089,0.13269999999999998,0.027999999999999997,0.0101,0.0875,0.8851,0.0,0.9242,0.725,1.0,0.087,0.0,0.06570000000000001,0.1875,0.0,0.31370000000000003,0.0,0.4293,0.1875,0.0667
16,2023,94886,Cacahual,94,Guainía,388.0,316.99600000000004,0.8170000000000001,0.8170000000000001,0.76,0.6865000000000001,0.0806,0.0,0.8428,1.12,1.4703,0.2177,0.0,0.0765,0.0882,0.0,0.7768,0.0,0.7390000000000001,0.963,0.0,0.14679999999999999,0.0,0.1728,0.037000000000000005,0.0,0.21710000000000002,0.0,0.25739999999999996,0.037000000000000005,0.0
17,2023,94885,La Guadalupe,94,Guainía,112.0,56.0,0.5,0.5,0.3,0.7115,0.0,0.0,0.5089,0.4,1.0192,0.0,0.0,0.0526,0.056600000000000004,0.0,0.7895,0.0,0.7736,0.0,0.0,0.15789999999999998,0.0,0.1698,0.0,0.0,0.21050000000000002,0.0,0.22640000000000002,0.0,0.0
18,2023,94884,Puerto Colombia,94,Guainía,754.0,577.0362,0.7653,0.7653,0.3478,0.8270000000000001,0.0901,0.009000000000000001,0.8289,0.8841,1.4780000000000002,0.20170000000000002,0.11710000000000001,0.07519999999999999,0.0516,0.3191,0.7023999999999999,0.0,0.6766,0.6383,0.7692,0.2224,0.0,0.2718,0.0426,0.0,0.2784,0.0492,0.3115,0.23399999999999999,0.23079999999999998
19,2023,94883,San Felipe,94,Guainía,671.0,399.9831,0.5961,0.5961,0.2535,0.6173,0.113,0.0645,0.6706,0.5775,1.0939,0.3652,0.2366,0.16,0.16829999999999998,0.2024,0.7289,0.0,0.6733,0.7737999999999999,0.9545,0.11109999999999999,0.0,0.15839999999999999,0.023799999999999998,0.0,0.1844,0.048799999999999996,0.2475,0.07139999999999999,0.0
20,2023,94343,Barranco Minas,94,Guainía,4041.0,2669.8887,0.6607,0.6607,0.6301,0.6703,0.34409999999999996,0.10300000000000001,0.7793000000000001,0.7168000000000001,0.9589,0.7003,0.493,0.0362,0.0206,0.0603,0.8364,0.0,0.838,0.7966,0.8418000000000001,0.1274,0.0,0.14150000000000001,0.1432,0.1076,0.0975,0.004,0.1263,0.0925,0.0348
21,2023,94001,Inírida,94,Guainía,9673.0,7488.8366,0.7742,0.7733,0.727,0.7375,0.4535,0.1311,0.8934000000000001,1.0692,1.0859,0.8248000000000001,0.4778,0.0642,0.0508,0.0929,0.8112,0.0146,0.8157,0.7511,0.8901,0.1246,0.0146,0.1335,0.156,0.0733,0.16190000000000002,0.08470000000000001,0.18359999999999999,0.1725,0.0611
22,2023,91798,Tarapacá,91,Amazonas,1327.0,664.0307999999999,0.5004,0.5004,0.3394,0.6202000000000001,0.1996,0.0308,0.5516,0.7156,0.8771,0.35200000000000004,0.0837,0.0219,0.0021,0.0828,0.9016,0.0,0.9854,0.6751999999999999,0.2632,0.0765,0.0,0.0126,0.242,0.6315999999999999,0.2609,0.0128,0.2887,0.293,0.31579999999999997
23,2023,91669,Puerto Santander,91,Amazonas,618.0,393.97499999999997,0.6375,0.6375,0.7234,0.7803,0.271,0.1183,0.6973999999999999,1.1489,0.9811,0.41590000000000005,0.3118,0.0095,0.0039000000000000003,0.0225,0.9548000000000001,0.0,0.9653,0.8989,1.0,0.035699999999999996,0.0,0.030899999999999997,0.0787,0.0,0.16670000000000001,0.018500000000000003,0.19690000000000002,0.1685,0.16670000000000001
24,2023,91540,Puerto Nariño,91,Amazonas,3232.0,1779.8624,0.5507,0.5507,0.3774,0.5398,0.3901,0.1628,0.6318,0.7315,0.7334,0.5882999999999999,0.4138,0.0967,0.0759,0.12279999999999999,0.7827,0.0,0.789,0.7225,0.7926000000000001,0.1206,0.0,0.1351,0.1547,0.053200000000000004,0.1537,0.058499999999999996,0.1861,0.1675,0.037200000000000004
25,2023,91536,Puerto Arica,91,Amazonas,274.0,229.99559999999997,0.8393999999999999,0.8393999999999999,0.44439999999999996,0.871,0.5595,0.2051,0.9526,0.8148000000000001,1.2016,0.7976000000000001,0.5897,0.0,0.0,0.0,0.9962000000000001,0.0,0.9933,1.0,1.0,0.0038,0.0,0.0067,0.0,0.0,0.1149,0.0,0.1275,0.1045,0.1739
26,2023,91530,Puerto Alegría,91,Amazonas,211.0,137.994,0.654,0.654,0.40909999999999996,0.6364,0.375,0.0,0.6872,0.7726999999999999,0.9697,0.5,0.0,0.0138,0.0,0.0625,0.9103,0.0,0.9063,0.875,0.0,0.0759,0.0,0.09380000000000001,0.0625,0.0,0.1862,0.29410000000000003,0.1979,0.09380000000000001,0.0
27,2023,91460,Miriti - Paraná,91,Amazonas,571.0,282.0169,0.4939,0.4939,0.11630000000000001,0.5411,0.2713,0.1101,0.5884,0.3953,0.7835,0.5318999999999999,0.3486,0.1042,0.022099999999999998,0.21,0.8957999999999999,0.0,0.9779000000000001,0.79,0.7631999999999999,0.0,0.0,0.0,0.0,0.0,0.125,0.1765,0.1105,0.18,0.0263
28,2023,91430,La Victoria,91,Amazonas,169.0,23.997999999999998,0.142,0.142,0.2353,0.1549,0.0,0.0,0.142,0.29410000000000003,0.2676,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16670000000000001,0.2,0.15789999999999998,0.0,0.0
29,2023,91407,La Pedrera,91,Amazonas,1203.0,808.0550999999999,0.6717,0.6717,0.5567,0.7759999999999999,0.34950000000000003,0.1907,0.7997,1.1753,1.008,0.6117,0.4742,0.0077,0.0,0.0132,0.9714,0.0,0.9940000000000001,0.9295,0.8923000000000001,0.0209,0.0,0.006,0.057300000000000004,0.0462,0.1297,0.0263,0.2024,0.048499999999999995,0.0308
30,2023,91405,La Chorrera,91,Amazonas,1197.0,598.9788,0.5004,0.5004,0.4875,0.45030000000000003,0.3393,0.099,0.5781000000000001,0.675,0.6135,0.6173,0.3594,0.0538,0.0245,0.11359999999999999,0.8432999999999999,0.0556,0.8593000000000001,0.8,0.82,0.10289999999999999,0.0556,0.1162,0.0864,0.14,0.2642,0.0556,0.2477,0.37270000000000003,0.12
31,2023,91263,El Encanto,91,Amazonas,656.0,322.03040000000004,0.49090000000000006,0.49090000000000006,0.1636,0.5805,0.3274,0.17120000000000002,0.5259,0.3273,0.7341,0.4484,0.2793,0.0816,0.015300000000000001,0.17,0.898,0.0,0.9745,0.78,0.7931,0.0204,0.0,0.0102,0.05,0.0,0.0962,0.0,0.09179999999999999,0.14,0.0345
32,2023,91001,Leticia,91,Amazonas,13789.0,12371.4908,0.8972,0.8969,0.556,0.8946999999999999,0.6858,0.3577,1.0345,0.9343,1.1088,1.0578,0.8459,0.0479,0.0348,0.0558,0.8847,0.0,0.9037999999999999,0.8534,0.866,0.0674,0.0,0.061399999999999996,0.0908,0.0687,0.12179999999999999,0.046,0.1365,0.1445,0.045599999999999995
33,2023,88564,Providencia,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",1127.0,884.0187999999999,0.7844,0.7844,0.7283,0.7092,0.687,0.5943999999999999,0.8243,0.8804000000000001,0.8012999999999999,0.8301999999999999,0.8443999999999999,0.0108,0.0078000000000000005,0.0128,0.9473,0.0,0.9217,0.9553,0.9737,0.042,0.0,0.0705,0.0319,0.0132,0.071,0.0,0.0496,0.10859999999999999,0.0855
34,2023,88001,San Andrés,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",9656.0,9467.707999999999,0.9804999999999999,0.9801000000000001,0.8042,0.9670000000000001,0.8734999999999999,0.5343,1.0378,0.9362999999999999,1.0908,1.1074,0.8101999999999999,0.033,0.022400000000000003,0.045899999999999996,0.8842,0.0,0.9225,0.8154,0.8931999999999999,0.0828,0.0,0.055099999999999996,0.1386,0.0701,0.1184,0.0236,0.0975,0.1784,0.0756
35,2023,86885,Villagarzón,86,Putumayo,5833.0,5723.9229,0.9813,0.9813,0.6384000000000001,0.9773999999999999,0.8148000000000001,0.4526,1.0615,0.9690000000000001,1.1486,1.1037000000000001,0.8084,0.0608,0.0405,0.095,0.873,0.0045000000000000005,0.9189,0.7834,0.8911,0.0663,0.0045000000000000005,0.0405,0.1216,0.048799999999999996,0.11599999999999999,0.0385,0.0992,0.1681,0.0812
36,2023,86865,Valle del Guamuez,86,Putumayo,7438.0,7289.24,0.98,0.9797,0.7959999999999999,0.9922,0.7744,0.5015,1.0844,1.2368000000000001,1.1717,1.0441,0.9079,0.0581,0.0475,0.0736,0.8792,0.0,0.9,0.8264,0.9075,0.06280000000000001,0.0,0.0525,0.1,0.0458,0.08900000000000001,0.0274,0.08800000000000001,0.1226,0.048799999999999996
37,2023,86760,Santiago,86,Putumayo,1522.0,1153.9804,0.7582,0.7582,0.5652,0.7545999999999999,0.6278,0.4815,0.816,0.8695999999999999,0.8436,0.8220999999999999,0.6995999999999999,0.0483,0.014499999999999999,0.092,0.8929,0.0083,0.9618000000000001,0.7886,0.8765000000000001,0.0588,0.0083,0.0236,0.11939999999999999,0.0647,0.0588,0.0,0.0345,0.11689999999999999,0.0412
38,2023,86757,San Miguel,86,Putumayo,4636.0,4101.0055999999995,0.8845999999999999,0.8845999999999999,0.5885,0.8961,0.6884999999999999,0.4044,0.9786,1.1198000000000001,1.0915000000000001,0.9177,0.7481,0.0605,0.0604,0.0739,0.8886,0.0353,0.8969,0.8576,0.9223,0.0509,0.0353,0.042800000000000005,0.06849999999999999,0.0518,0.0762,0.0141,0.0889,0.0922,0.0339
39,2023,86755,San Francisco,86,Putumayo,1159.0,783.0204,0.6756,0.6756,0.4157,0.6998000000000001,0.5302,0.37689999999999996,0.7947,0.6742,0.778,0.8166,0.8442000000000001,0.0533,0.013600000000000001,0.10490000000000001,0.9083,0.0,0.9538,0.8315,0.9286,0.0384,0.0,0.0326,0.0637,0.0179,0.10039999999999999,0.0167,0.0408,0.161,0.19640000000000002
40,2023,86749,Sibundoy,86,Putumayo,2960.0,2873.864,0.9709,0.9703,0.7042,0.8432,0.8881999999999999,0.8427,1.0615,0.9208,0.9190999999999999,1.0967,1.3941999999999999,0.0319,0.0178,0.0487,0.9292,0.0,0.9634,0.8704999999999999,0.9593,0.039,0.0,0.0187,0.0808,0.011899999999999999,0.0583,0.0098,0.042199999999999994,0.09179999999999999,0.0424
41,2023,86573,Leguízamo,86,Putumayo,8182.0,4923.1094,0.6017,0.6015999999999999,0.298,0.6112,0.4683,0.22469999999999998,0.66,0.5621,0.7748,0.6534,0.4108,0.0721,0.0506,0.1027,0.8815000000000001,0.0,0.8985,0.8404,0.8896,0.0463,0.0,0.051,0.056900000000000006,0.0208,0.10640000000000001,0.0352,0.1268,0.1027,0.0625
42,2023,86571,Puerto Guzmán,86,Putumayo,9596.0,4644.464,0.484,0.484,0.2799,0.48969999999999997,0.3575,0.1352,0.537,0.5462,0.6351,0.5338,0.27440000000000003,0.087,0.0625,0.1325,0.8468000000000001,0.0,0.877,0.7709,0.8591,0.0661,0.0,0.0605,0.0966,0.051500000000000004,0.1398,0.0339,0.1495,0.1659,0.084
43,2023,86569,Puerto Caicedo,86,Putumayo,3311.0,2229.9585,0.6735,0.6735,0.5035000000000001,0.7437,0.4903,0.2781,0.7112999999999999,0.8332999999999999,0.8640000000000001,0.6177,0.4401,0.0611,0.0489,0.07769999999999999,0.8854000000000001,0.0,0.9039,0.8445,0.8619,0.0535,0.0,0.0472,0.07769999999999999,0.0711,0.08960000000000001,0.0583,0.0928,0.1121,0.0418
44,2023,86568,Puerto Asís,86,Putumayo,14965.0,13751.338500000002,0.9189,0.9187000000000001,0.6255,0.8748999999999999,0.7492,0.39149999999999996,1.0866,1.03,1.0905,1.179,0.9235,0.058499999999999996,0.050199999999999995,0.0736,0.8408,0.012199999999999999,0.8714,0.7702,0.8785,0.1007,0.012199999999999999,0.0784,0.1562,0.0762,0.1105,0.0431,0.1201,0.1316,0.048499999999999995
45,2023,86320,Orito,86,Putumayo,8938.0,8484.8434,0.9493,0.9490000000000001,0.6154999999999999,0.9106000000000001,0.7859,0.49,1.0439,1.0318,1.0867,1.0769,0.8773000000000001,0.052300000000000006,0.0392,0.0663,0.8648,0.0014000000000000002,0.9157,0.7855,0.8466,0.0828,0.0014000000000000002,0.0451,0.1483,0.0964,0.0934,0.0305,0.0855,0.1311,0.0621
46,2023,86219,Colón,86,Putumayo,1003.0,772.0091,0.7696999999999999,0.7696999999999999,0.4022,0.7193,0.7829999999999999,0.537,0.8225,0.7173999999999999,0.8005,0.9308,0.7284,0.0255,0.0174,0.037200000000000004,0.937,0.0,0.9420000000000001,0.9087999999999999,0.9576,0.037599999999999995,0.0,0.0406,0.0541,0.0085,0.0521,0.060599999999999994,0.0667,0.043899999999999995,0.0254
47,2023,86001,Mocoa,86,Putumayo,11635.0,9837.3925,0.8454999999999999,0.8449,0.6092,0.8201,0.7132999999999999,0.44409999999999994,0.945,0.9013,0.9497,1.0211,0.8081,0.043,0.025699999999999997,0.07150000000000001,0.8748,0.0,0.9273,0.7841,0.8952,0.08220000000000001,0.0,0.047,0.1444,0.075,0.08929999999999999,0.015700000000000002,0.07150000000000001,0.1427,0.0453
48,2023,85440,Villanueva,85,Casanare,8074.0,7842.276199999999,0.9712999999999999,0.9712999999999999,0.7271,0.9617,0.8389,0.5801,1.0390000000000001,0.9218000000000001,1.0902,1.08,0.8856,0.0484,0.045899999999999996,0.0599,0.8956999999999999,0.0,0.9140999999999999,0.8454999999999999,0.9274,0.0559,0.0,0.0401,0.0946,0.0409,0.0713,0.010700000000000001,0.0647,0.1101,0.0227
49,2023,85430,Trinidad,85,Casanare,3333.0,2956.0377,0.8869,0.8869,0.5842,0.8298000000000001,0.7495,0.4893,0.9634,0.7426,0.9848,1.0579,0.8369,0.0435,0.0379,0.053200000000000004,0.8931999999999999,0.0,0.8855,0.8719,0.9460999999999999,0.0633,0.0,0.0766,0.07490000000000001,0.0189,0.1051,0.0089,0.1223,0.1133,0.0755
50,2023,85410,Tauramena,85,Casanare,5696.0,5264.812800000001,0.9243000000000001,0.9236,0.6839,0.9136,0.813,0.4926,1.0018,0.8946,1.0388,1.0576,0.8492000000000001,0.0347,0.0321,0.0379,0.8906999999999999,0.0,0.9133,0.8536,0.89,0.0745,0.0,0.0546,0.1085,0.0806,0.0592,0.0296,0.062400000000000004,0.0748,0.020499999999999997
51,2023,85400,Támara,85,Casanare,1676.0,1427.952,0.852,0.852,0.7669,0.8676,0.6509,0.35609999999999997,0.8956000000000001,1.0075,1.0863,0.8053,0.5504,0.048799999999999996,0.0318,0.0911,0.8714,0.0,0.9245,0.7517,0.8412999999999999,0.07980000000000001,0.0,0.0437,0.1572,0.11109999999999999,0.0784,0.0075,0.0795,0.09789999999999999,0.0794
52,2023,85325,San Luis de Palenque,85,Casanare,1910.0,1584.9180000000001,0.8298000000000001,0.8298000000000001,0.6746,0.8398,0.6844,0.3414,0.8853,0.8107,0.9734999999999999,0.9211,0.6,0.0365,0.0334,0.0436,0.8077,0.0073,0.8304,0.7173,0.8828,0.1558,0.0073,0.1361,0.2391,0.10339999999999999,0.0971,0.0,0.10640000000000001,0.1252,0.0345
53,2023,85315,Sácama,85,Casanare,494.0,259.99219999999997,0.5263,0.5263,0.3111,0.5893999999999999,0.4268,0.3529,0.5628,0.44439999999999996,0.6377,0.5159,0.5294,0.032400000000000005,0.0076,0.037000000000000005,0.9423999999999999,0.0,0.9621,0.9506,0.8667,0.0252,0.0,0.030299999999999997,0.0123,0.0444,0.046799999999999994,0.0,0.0379,0.09880000000000001,0.0
54,2023,85300,Sabanalarga,85,Casanare,732.0,564.006,0.7705,0.7705,0.4182,0.6790999999999999,0.7115,0.5,0.8238,0.6182,0.8073999999999999,0.9328,0.7343999999999999,0.0398,0.0209,0.07200000000000001,0.8972,0.0,0.9540000000000001,0.7924,0.9787,0.063,0.0,0.025099999999999997,0.1356,0.0,0.08960000000000001,0.0,0.0795,0.1356,0.0319
55,2023,85279,Recetor,85,Casanare,269.0,154.0025,0.5725,0.5725,0.43479999999999996,0.6726000000000001,0.4432,0.2889,0.6245,0.6087,0.7611,0.5,0.5333,0.023799999999999998,0.0,0.0,0.8929,0.0,0.9301999999999999,0.8636,0.75,0.0833,0.0,0.0698,0.1364,0.0833,0.0655,0.0,0.0698,0.0682,0.0833
56,2023,85263,Pore,85,Casanare,2898.0,2336.9472,0.8064,0.8064,0.6235,0.7881,0.6943,0.4825,0.8761,0.7976000000000001,0.8936,0.9086,0.8035,0.0345,0.0334,0.0368,0.9086,0.0,0.9161,0.8995000000000001,0.8739,0.056799999999999996,0.0,0.050499999999999996,0.0637,0.09380000000000001,0.0828,0.0051,0.10189999999999999,0.0907,0.046900000000000004
57,2023,85250,Paz de Ariporo,85,Casanare,8981.0,8416.9932,0.9372,0.9372,0.7034,0.9089,0.7786,0.5058,1.0347,0.9487000000000001,1.0881999999999998,1.0712000000000002,0.8579000000000001,0.034,0.0336,0.036000000000000004,0.9177,0.0028000000000000004,0.9377,0.8732,0.9298000000000001,0.0483,0.0028000000000000004,0.0287,0.0908,0.0405,0.0926,0.028999999999999998,0.1175,0.0897,0.0455
58,2023,85230,Orocué,85,Casanare,3471.0,2520.9873,0.7263,0.7263,0.42710000000000004,0.6698000000000001,0.6464,0.37729999999999997,0.7983,0.7017,0.7781,0.9131,0.6617000000000001,0.06269999999999999,0.0346,0.0989,0.8853,0.0,0.9351,0.8190000000000001,0.8545999999999999,0.052000000000000005,0.0,0.030299999999999997,0.0821,0.0682,0.08,0.0097,0.0787,0.10679999999999999,0.0475
59,2023,85225,Nunchía,85,Casanare,1952.0,1600.0544,0.8197,0.8197,0.5618,0.7867000000000001,0.73,0.4919,0.8837,0.7472,0.8915000000000001,0.9936,0.7184,0.0187,0.010700000000000001,0.0329,0.9338,0.0,0.9519,0.8839,0.9804,0.0475,0.0,0.0374,0.0832,0.0147,0.071,0.0226,0.0521,0.1092,0.0637
60,2023,85162,Monterrey,85,Casanare,3766.0,3199.9702,0.8497,0.8497,0.6406000000000001,0.8243,0.789,0.4852,0.9301999999999999,0.8094,0.9140999999999999,1.0242,0.8443,0.0326,0.0169,0.054299999999999994,0.889,0.0,0.9479000000000001,0.7993000000000001,0.9095,0.0784,0.0,0.0352,0.1464,0.066,0.0605,0.0126,0.054299999999999994,0.09539999999999998,0.0049
61,2023,85139,Maní,85,Casanare,3721.0,3368.9934000000003,0.9054000000000001,0.9054000000000001,0.7885,0.9013,0.7239,0.37329999999999997,0.9801000000000001,1.0,1.0663,1.0090999999999999,0.6729,0.0593,0.0453,0.0848,0.8748,0.0,0.8922,0.8116,0.9487000000000001,0.066,0.0,0.062400000000000004,0.1036,0.016,0.0883,0.0288,0.0771,0.1366,0.0353
62,2023,85136,La Salina,85,Casanare,372.0,208.9896,0.5618,0.5618,0.4167,0.5755,0.4338,0.32880000000000004,0.6075,0.5417000000000001,0.6762999999999999,0.5661999999999999,0.5753,0.0487,0.0106,0.12990000000000002,0.9159,0.0,0.9468000000000001,0.8312,0.9762000000000001,0.0354,0.0,0.0426,0.039,0.023799999999999998,0.12390000000000001,0.15380000000000002,0.11699999999999999,0.12990000000000002,0.11900000000000001
63,2023,85125,Hato Corozal,85,Casanare,3462.0,3133.11,0.905,0.905,0.6361,0.872,0.7209,0.3494,1.0505,0.9558,1.1178,1.1139000000000001,0.7837000000000001,0.0564,0.0509,0.07719999999999999,0.8273,0.010700000000000001,0.8492000000000001,0.7601,0.8439,0.1162,0.010700000000000001,0.0999,0.16269999999999998,0.1164,0.135,0.024900000000000002,0.1199,0.1923,0.09789999999999999
64,2023,85015,Chameza,85,Casanare,521.0,376.9956,0.7236,0.7236,0.5227,0.7454999999999999,0.7069,0.5422,0.7409,0.5455,0.7818,0.7759,0.6627,0.0104,0.0,0.0296,0.9637,0.0,0.9942,0.9185,0.9636,0.0259,0.0,0.0058,0.0519,0.0364,0.0285,0.0,0.0174,0.0593,0.0
65,2023,85010,Aguazul,85,Casanare,8078.0,7372.790599999999,0.9127,0.9120999999999999,0.5985,0.8862000000000001,0.8142,0.5365,0.9959,0.8552,0.9964,1.0788,0.8987999999999999,0.0323,0.0262,0.04019999999999999,0.8936,0.0,0.9312999999999999,0.8273999999999999,0.9154000000000001,0.0741,0.0,0.0424,0.1324,0.0613,0.07629999999999999,0.016,0.06509999999999999,0.1133,0.04650000000000001
